"file_moved","original_repo","original_path","destination_path","timestamp_utc","bucket"
"field_extraction_test_output.txt","credentialmate-app","field_extraction_test_output.txt","deletion\credentialmate-app\field_extraction_test_output.txt","2025-11-20T19:26:06Z","deletion"
"haiku_5doc_test_output.txt","credentialmate-app","haiku_5doc_test_output.txt","deletion\credentialmate-app\haiku_5doc_test_output.txt","2025-11-20T19:26:06Z","deletion"
"haiku_improved_gt_test_output.txt","credentialmate-app","haiku_improved_gt_test_output.txt","deletion\credentialmate-app\haiku_improved_gt_test_output.txt","2025-11-20T19:26:06Z","deletion"
"haiku_vs_sonnet_test_output.txt","credentialmate-app","haiku_vs_sonnet_test_output.txt","deletion\credentialmate-app\haiku_vs_sonnet_test_output.txt","2025-11-20T19:26:06Z","deletion"
"nguyen_test_output.txt","credentialmate-app","backend\nguyen_test_output.txt","deletion\credentialmate-app\backend\nguyen_test_output.txt","2025-11-20T19:26:06Z","deletion"
"haiku_5doc_test_results.json","credentialmate-app","haiku_5doc_test_results.json","deletion\credentialmate-app\haiku_5doc_test_results.json","2025-11-20T19:26:06Z","deletion"
"haiku_accuracy_test_results.json","credentialmate-app","haiku_accuracy_test_results.json","deletion\credentialmate-app\haiku_accuracy_test_results.json","2025-11-20T19:26:06Z","deletion"
"haiku_improved_gt_test_results.json","credentialmate-app","haiku_improved_gt_test_results.json","deletion\credentialmate-app\haiku_improved_gt_test_results.json","2025-11-20T19:26:06Z","deletion"
"sonnet_accuracy_test_results.json","credentialmate-app","sonnet_accuracy_test_results.json","deletion\credentialmate-app\sonnet_accuracy_test_results.json","2025-11-20T19:26:06Z","deletion"
".env.prod.tmp","credentialmate-app",".env.prod.tmp","deletion\credentialmate-app\.env.prod.tmp","2025-11-20T19:26:06Z","deletion"
"coverage.xml","credentialmate-app","coverage.xml","deletion\credentialmate-app\coverage.xml","2025-11-20T19:26:06Z","deletion"
"coverage.json","credentialmate-app","coverage.json","deletion\credentialmate-app\coverage.json","2025-11-20T19:26:06Z","deletion"
"coverage.xml","credentialmate-app","backend\coverage.xml","deletion\credentialmate-app\backend\coverage.xml","2025-11-20T19:26:06Z","deletion"
"coverage.json","credentialmate-app","backend\coverage.json","deletion\credentialmate-app\backend\coverage.json","2025-11-20T19:26:06Z","deletion"
".gitignore","credentialmate-app","htmlcov\.gitignore","deletion\credentialmate-app\htmlcov\.gitignore","2025-11-20T19:26:06Z","deletion"
"class_index.html","credentialmate-app","htmlcov\class_index.html","deletion\credentialmate-app\htmlcov\class_index.html","2025-11-20T19:26:06Z","deletion"
"coverage_html_cb_497bf287.js","credentialmate-app","htmlcov\coverage_html_cb_497bf287.js","deletion\credentialmate-app\htmlcov\coverage_html_cb_497bf287.js","2025-11-20T19:26:06Z","deletion"
"favicon_32_cb_58284776.png","credentialmate-app","htmlcov\favicon_32_cb_58284776.png","deletion\credentialmate-app\htmlcov\favicon_32_cb_58284776.png","2025-11-20T19:26:06Z","deletion"
"function_index.html","credentialmate-app","htmlcov\function_index.html","deletion\credentialmate-app\htmlcov\function_index.html","2025-11-20T19:26:06Z","deletion"
"index.html","credentialmate-app","htmlcov\index.html","deletion\credentialmate-app\htmlcov\index.html","2025-11-20T19:26:06Z","deletion"
"keybd_closed_cb_ce680311.png","credentialmate-app","htmlcov\keybd_closed_cb_ce680311.png","deletion\credentialmate-app\htmlcov\keybd_closed_cb_ce680311.png","2025-11-20T19:26:06Z","deletion"
"status.json","credentialmate-app","htmlcov\status.json","deletion\credentialmate-app\htmlcov\status.json","2025-11-20T19:26:06Z","deletion"
"style_cb_dca529e9.css","credentialmate-app","htmlcov\style_cb_dca529e9.css","deletion\credentialmate-app\htmlcov\style_cb_dca529e9.css","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_config_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_config_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_config_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_database_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_database_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_database_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_dependencies_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_dependencies_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_dependencies_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_exceptions_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_exceptions_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_exceptions_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_health_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_health_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_health_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_logging_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_logging_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_logging_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_queue_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_queue_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_queue_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_rate_limit_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_rate_limit_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_rate_limit_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_s3_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_s3_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_s3_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a_security_py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a_security_py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a_security_py.html","2025-11-20T19:26:06Z","deletion"
"z_0f8bf3809cd2117a___init___py.html","credentialmate-app","htmlcov\z_0f8bf3809cd2117a___init___py.html","deletion\credentialmate-app\htmlcov\z_0f8bf3809cd2117a___init___py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_audit_backup_py.html","credentialmate-app","htmlcov\z_364d084594700db7_audit_backup_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_audit_backup_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_audit_py.html","credentialmate-app","htmlcov\z_364d084594700db7_audit_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_audit_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_cme_py.html","credentialmate-app","htmlcov\z_364d084594700db7_cme_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_cme_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_compliance_py.html","credentialmate-app","htmlcov\z_364d084594700db7_compliance_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_compliance_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_documents_py.html","credentialmate-app","htmlcov\z_364d084594700db7_documents_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_documents_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_licenses_py.html","credentialmate-app","htmlcov\z_364d084594700db7_licenses_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_licenses_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_notifications_backup_py.html","credentialmate-app","htmlcov\z_364d084594700db7_notifications_backup_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_notifications_backup_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_notifications_py.html","credentialmate-app","htmlcov\z_364d084594700db7_notifications_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_notifications_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7_providers_py.html","credentialmate-app","htmlcov\z_364d084594700db7_providers_py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7_providers_py.html","2025-11-20T19:26:06Z","deletion"
"z_364d084594700db7___init___py.html","credentialmate-app","htmlcov\z_364d084594700db7___init___py.html","deletion\credentialmate-app\htmlcov\z_364d084594700db7___init___py.html","2025-11-20T19:26:06Z","deletion"
"z_4f85c2e1fda9ed39_base_repository_py.html","credentialmate-app","htmlcov\z_4f85c2e1fda9ed39_base_repository_py.html","deletion\credentialmate-app\htmlcov\z_4f85c2e1fda9ed39_base_repository_py.html","2025-11-20T19:26:06Z","deletion"
"z_4f85c2e1fda9ed39_document_repository_py.html","credentialmate-app","htmlcov\z_4f85c2e1fda9ed39_document_repository_py.html","deletion\credentialmate-app\htmlcov\z_4f85c2e1fda9ed39_document_repository_py.html","2025-11-20T19:26:06Z","deletion"
"z_4f85c2e1fda9ed39___init___py.html","credentialmate-app","htmlcov\z_4f85c2e1fda9ed39___init___py.html","deletion\credentialmate-app\htmlcov\z_4f85c2e1fda9ed39___init___py.html","2025-11-20T19:26:06Z","deletion"
